cid,Molecular_weight,LogP,abonds,dbonds,nF,sbonds,tbonds,Ncharges,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,MolarRefractivity,Number_of_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,C,H,N,O,S,Cl,F,P,I,Br,B,RNH2,R2NH,R3N,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC
25154867,456.4679893,10.1646,18,1,3,40,0,0,29,6,1,1,0,0,0,0.222222222,36,3,139.5526,56,59,0,0,67.35,12.51965622,1.013339598,11.35484752,26.07407407,12.3008,299,332,24,23,4,2,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,3
17754438,372.3919935,4.202,26,0,0,22,0,0,23,9,1,1,0,1,0,0.15625,32,4,119.8698,44,48,0,0,107.43,10.50162863,0.982613274,9.687448366,19.93359375,9.013333333,238,268,19,16,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5
5284329,520.6369896,13.1446,27,0,0,50,0,0,39,7,1,1,0,0,0,0.133333333,45,3,185.3936,71,77,0,0,77.33,18.51764515,1.009593929,17.34167641,27.81037037,13.10707987,396,444,31,32,6,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,7,5
5730,389.4549917,7.8746,18,2,0,34,0,0,29,6,3,3,0,0,0,0.225806452,31,0,140.5268,52,54,0,0,81.67,11.77387592,0.973551413,11.0937382,23.65868887,11.0394808,261,273,23,23,3,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,3
5081913,383.6749887,5.9628,12,1,6,21,0,0,11,3,2,2,0,0,0,0.192307692,26,0,86.3929,33,34,0,0,49.33,10.78385053,0.968976434,10.12911538,21.30177515,7.935,170,195,15,8,1,2,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
10126189,363.3969926,5.1808,17,2,0,30,0,1,24,6,0,0,0,0,0,0.166666667,30,2,118.417,46,49,0,0,77.96,12.34354579,1.039171208,10.87826,20.28,8.788534343,247,263,20,19,4,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,4,4
4055,172.1829958,3.0666,6,3,0,13,0,0,10,2,0,0,0,0,0,0,14,0,57.506,21,22,0,0,34.14,8.275740642,1.084024935,6.63427148,9.551020408,3.63,108,117,11,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
39562,320.1549927,5.761,16,1,0,16,0,0,11,4,0,1,1,0,0,0.130434783,23,1,90.032,30,32,0,0,57.95,10.94187549,0.976176647,10.20890929,15.87901701,6.629935721,162,186,15,10,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
25183872,361.0339926,5.051,6,2,0,34,0,0,26,6,4,4,0,0,0,0.391304348,23,0,104.8721,42,42,0,0,98.66,8.105770802,0.276805866,28.28323345,21.04347826,10.09573361,207,217,14,19,2,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1
5212,474.586993,9.6962,16,3,0,47,0,0,37,8,2,2,0,0,1,0.194444444,36,3,154.8645,63,66,0,2,123,12.70662896,1.00294586,11.66930695,26.07407407,10.94766821,342,354,22,30,6,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,3
5311,264.3249946,6.0928,6,2,0,31,0,0,24,5,3,3,1,0,0,0.526315789,19,0,94.185,39,39,0,0,81.26,12.68322672,0.956034473,12.26649517,17.05263158,10.74793388,192,197,14,20,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1673,149.156998,1.8809,10,0,0,9,0,0,11,5,1,0,0,0,0,0,12,2,47.3158,18,19,0,0,69.62,6.749356817,1.009302785,5.687147718,7.638888889,2.802768166,91,93,6,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
300471,400.528996,6.3854,12,4,0,32,0,0,28,8,2,2,0,0,0,0.357142857,28,0,133.0658,47,48,0,0,128.86,13.79681898,1.017866897,12.55463962,23.28061224,11.86997809,232,240,19,20,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
24978538,974.633984,23.7923,24,6,3,96,0,0,65,10,4,4,0,0,2,0.253521127,71,2,304.1343,120,126,0,4,172.82,17.62167559,1.003252614,16.5645449,52.81491768,23.4852071,657,722,47,55,5,6,3,1,3,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,7,4
5362422,477.6519941,10.8275,11,3,0,50,0,0,38,9,4,4,1,0,0,0.454545455,33,1,160.3354,63,64,0,0,163.9,13.13698016,0.961750566,12.65944625,28.23875115,15.08923743,319,333,23,31,3,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
387447,384.2449929,5.1515,12,2,0,40,0,0,34,8,4,4,0,0,0,0.379310345,29,1,126.0781,53,54,0,0,124.44,9.188324833,0.276742297,32.20173652,24.27110583,12.6398892,265,281,19,25,4,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2
9931954,323.3709929,7.556,16,1,1,28,0,0,20,2,3,2,0,0,1,0.111111111,27,2,109.8966,42,45,0,0,61.5,13.75782523,1.010595547,12.61358189,17.41563786,7.318869165,228,253,19,18,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
702558,333.3229924,5.0722,16,3,0,23,0,0,17,5,1,2,1,0,0,0.142857143,28,2,100.0201,38,41,0,0,93.3,12.14029454,0.990702885,11.25422346,18.36734694,7.552647234,210,247,19,14,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,4,4
9826308,477.4639904,9.0006,21,1,3,32,0,0,24,8,1,0,0,0,0,0.222222222,36,2,134.8443,51,54,0,0,116.84,14.00180277,1.004884128,12.93374856,26.07407407,10.94766821,268,285,22,18,3,4,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,4
3035714,371.4179941,6.7378,18,2,0,25,0,0,24,6,3,3,0,0,0,0.214285714,28,1,117.5278,43,45,0,2,108.93,10.35484296,0.966824412,9.710158778,20.72704082,9.467455621,217,235,18,17,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,3
15547703,406.4789913,8.0728,6,3,0,51,0,0,37,8,4,4,1,1,0,0.4,30,0,137.5368,59,60,0,0,127.79,11.87949738,0.969407395,11.25439112,25.26222222,12.7575,306,329,21,30,2,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1
9883029,307.3529936,4.9733,16,1,0,26,0,0,21,5,2,2,0,1,0,0.115384615,26,2,105.3947,40,43,0,0,67.15,13.02198478,0.969149564,12.43650688,16.46745562,6.378698225,217,247,18,17,3,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,3
11960529,244.2979956,5.2527,10,1,0,25,0,0,19,3,3,1,0,0,1,0.1,20,2,84.231,34,36,0,0,88.38,9.749039475,1.009161577,8.660533754,13.005,4.835555556,184,205,13,16,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2
2532,362.4699924,9.6715,6,3,0,47,0,0,36,6,2,2,0,0,0,0.538461538,26,0,133.0978,56,56,0,0,84.5,14.72521955,1.01093277,13.56597311,24.03846154,14.0625,282,283,20,30,2,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1
42623900,567.692988,12.6451,34,0,0,48,0,0,39,7,2,2,0,1,0,0.204081633,49,2,205.3422,76,82,0,0,85.09,16.59248732,0.969073894,16.12200424,31.59183673,15.26859862,411,462,36,33,5,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,7,6
6758,394.4229906,8.9366,12,2,0,41,0,0,28,6,0,0,0,0,0,0.090909091,33,3,129.4085,51,55,0,0,63.22,14.255045,1.083498877,12.15649265,20.87786961,8.1648,284,307,23,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,2
11964036,582.7259896,13.7812,26,2,0,54,0,0,39,7,3,3,0,0,2,0.145833333,48,4,200.5634,76,82,0,0,108.9,12.24949843,0.888987721,12.77915368,30.64322917,13.77861794,424,468,33,34,4,4,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,7,5
4259181,371.4879929,9.9801,21,0,0,36,0,0,29,5,2,1,0,0,0,0.15625,32,2,142.7152,53,57,0,0,68.76,17.61179613,1.001053878,16.59325499,19.93359375,8.262562245,291,323,23,25,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4
148198,371.8719928,8.68468,12,1,0,35,1,0,28,6,2,2,0,0,2,0.407407407,27,1,127.5158,48,49,0,0,82.33,11.11991982,1.014399554,9.962070887,22.29080933,14.0625,240,248,19,22,5,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,2
