,A375,A549,A673,HCT116,HS 578T,HT29,LNCAP,LOVO,MCF7,PC-3,RKO,SK-MEL-28,SW-620,VCAP
3693,-0.11966576,-0.253429501,0.141839568,0.644168313,-0.488013979,-0.179941388,-0.35206404,-0.11281594,-0.181334751,-0.203711772,0.690589703,0.046294967,0.16615666,-0.152910757
4891,0.191556737,0.080021152,0.402245017,0.577967876,0.351409757,0.039037073,0.500075024,0.194990608,0.031676238,-0.019015113,-0.254849569,0.036374964,0.245130586,-0.095067197
10954,-0.031248017,0.004737884,-0.377423892,0.35478737,0.050261326,-0.097028035,-0.131829567,0.152833177,-0.0505223,-0.136249295,0.484786858,0.270383144,0.705094208,0.249139528
5909,-0.029807678,-0.259807707,0.003222339,0.26075393,-0.053476232,-0.191854137,-0.113056945,-0.071070347,-0.333108431,-0.250198481,0.277562262,0.101744064,0.029325639,-0.080493847
9221,-0.120699336,-0.074542451,-0.05975222,0.510010454,-0.116349226,-0.160051385,-0.058081357,0.071445838,-0.031595524,-0.171730204,0.304977107,0.472942187,0.64229157,0.20493714
847,-0.045718646,-0.315167183,0.493396305,-0.393670422,-0.129473562,-0.094740975,-0.031584729,-0.457422935,-0.18761538,-0.171367114,-0.264464271,-0.445064587,-0.086236706,-0.216729628
11072,-0.173536302,0.00871703,-0.497955837,0.488893697,-0.124222803,-0.13435458,-0.494567953,-0.207417415,0.027154563,-0.003165803,0.384433114,0.373365128,0.111466609,-0.13207843
8091,-0.084058494,-0.012574117,-0.134299303,0.547522357,0.022954723,-0.18508789,-1.036212105,0.211611661,0.089981911,0.032670917,-0.155147678,0.634529072,0.871575856,0.221800757
3486,0.012705671,-0.027392599,-0.092684985,-0.436025583,-0.221499872,0.118653877,-0.053925625,-0.294077561,-0.038351976,-0.271135461,-0.320887964,0.024912331,0.22651735,-0.297234259
10221,0.007654877,0.023126471,0.329955501,-0.576682019,-0.249800945,-0.227804331,-0.094807097,-0.679077029,-0.044282748,-0.182752219,0.217523691,-0.760929037,-0.690616274,-0.231149357
7158,-0.044674236,-0.024280063,0.265812888,-0.449357303,0.023899495,-0.057064638,-0.008829613,-0.107359008,-0.040941895,-0.067650496,-0.084690278,-0.113515488,0.255066224,-0.103999451
10818,0.132246609,0.112550257,0.074968085,-0.608833449,0.21912068,0.064573629,0.291786168,-0.717106674,0.058979775,0.092981281,-0.657196405,-0.346602526,-0.031805744,-0.014528429
8678,-0.136987032,-0.174231224,-0.517095533,0.357983172,-0.230283454,-0.155455536,-0.028572411,0.16035923,-0.084854074,-0.06447615,0.383636546,0.514302372,0.313771458,0.037228773
11014,0.013167843,-0.084226735,-0.580365144,0.040393742,-0.01946966,-0.08422359,0.04980267,0.059742193,0.028488395,-0.287972024,0.70595497,-0.06572628,0.057061065,0.127778331
1994,0.265097919,0.32611546,-0.315949095,0.182691357,0.185114583,0.20749212,0.360272741,-0.449446446,0.195767461,0.171304082,0.267820024,0.085526498,0.429574315,0.10976926
3454,0.149849439,0.04827304,0.596418191,-0.468983292,0.149965541,-0.018728324,-0.046956147,-0.382383718,0.053224415,0.222178293,-0.646348344,-0.717224555,-0.296447506,-0.122715192
4282,-0.296407844,-0.428031886,-0.374203353,0.084894499,0.022171264,-0.264875396,0.441752438,0.151606277,-0.454320191,-0.51311959,-0.052629375,0.048281554,-0.074105297,-0.340679655
1605,-0.2071945,-0.184867454,-0.291829466,0.567727777,-0.160489918,-0.153636406,0.051428268,0.234830825,-0.050393061,-0.195680426,0.662610284,0.901537446,0.761434974,-0.053967012
10644,-0.018989652,0.089240584,0.12331729,0.13853565,-0.098621318,-0.064153904,-0.184791166,-0.603054082,0.092076652,-0.137907248,-0.331455124,0.508474152,0.030210431,0.138122384
3482,-0.085921589,-0.084852621,-0.233809329,-0.559550801,-0.313083433,-0.099024207,-0.367162755,-0.275607386,0.037866168,0.047746198,-0.18124697,-0.571700533,-0.356542329,-0.144274469
